name,building_type,no_rooms,no_hall,area,age,address,price,date,lat,lon,timestamp
"鄰近時代廣場,交通方便,3分鐘到地鐵站",單棟式大廈,3,1,392,-1,港島 灣仔 堅拿道西,16900,07-05-2021,22.276709,114.1809955,1.62035E+12
名店街~光窗靚大堂~1分鐘到地鐵,屋苑,-1,-1,150,-1,港島 銅鑼灣 百德新街,6500,07-05-2021,22.2819639,114.1850067,1.62035E+12
2房光猛 新靜可即睇,單棟式大廈,2,1,365,-1,港島 灣仔 福安大廈,16000,07-05-2021,22.277655,114.17885686813187,1.62035E+12
簡潔裝修，廚廁企理，光猛，毗鄰祟光百貨,單棟式大廈,2,2,484,58,港島 銅鑼灣 海殿大廈,15000,07-05-2021,22.28183475,114.18362002692308,1.62035E+12
銅鑼湾 近地鐵 傢電 靚套房 有匙即睇,單棟式大廈,-1,-1,160,-1,港島 銅鑼灣 軒尼詩道,7600,07-05-2021,22.2801455,114.1848329,1.62035E+12
彈性住宿計劃由7晚或以上起,單棟式大廈,-1,-1,290,27,港島 銅鑼灣 富豪香港酒店,12650,07-05-2021,22.2791526,114.18686459122696,1.62035E+12
近地鐵站名校網 最筍3房高層靚景,屋苑,3,2,646,-1,港島 西半山 樂賢閣,34000,07-05-2021,22.28444555,114.14561308931397,1.62035E+12
近地鐵站名校網 最筍3房高層靚景,屋苑,3,2,864,-1,港島 西半山 柏道2號,45000,07-05-2021,22.28386,114.144355,1.62035E+12
最筍1房筍盤推介,屋苑,1,1,339,-1,港島 跑馬地 金翠樓,22000,07-05-2021,22.2709534,114.18505518861608,1.62035E+12
最筍2房低價實盤 光猛企理,屋苑,2,0,342,-1,港島 北角 百佳閣,14800,07-05-2021,22.28982835,114.20456448870334,1.62035E+12
臨近太古港鐵最筍3房 低價實盤,屋苑,3,2,596,-1,港島 鰂魚涌 康怡花園_D座,23000,07-05-2021,22.2803318,114.21556480942624,1.62035E+12
近地鐵站開放式靚裝 罕有放盤,屋苑,-1,-1,380,-1,港島 鰂魚涌 太吉樓,14500,07-05-2021,22.2840042,114.2143921775989,1.62035E+12
最筍2房隨時睇樓,屋苑,2,1,351,-1,港島 北角 新和富大廈,16500,07-05-2021,22.2919922,114.19680324999999,1.62035E+12
最筍2房光猛企理,屋苑,2,2,600,-1,港島 上環/中環 慧源閣,27000,07-05-2021,22.2758415,114.1731355,1.62035E+12
臨近北角港鐵開放式靚裝 樓齡新,屋苑,-1,-1,181,-1,港島 北角 君譽峰,13300,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
臨近北角港鐵最筍1房 樓齡新,屋苑,1,1,258,-1,港島 北角 君譽峰,18000,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
最筍3房低價實盤 罕有放盤,屋苑,3,2,570,-1,港島 鰂魚涌 南豐新邨_10座,22000,07-05-2021,22.28193335,114.21468350377359,1.62035E+12
交通便利名校網 最筍1房樓齡新,屋苑,1,2,408,-1,港島 灣仔 York_Place,23000,07-05-2021,22.276840200000002,114.17032049822734,1.62035E+12
最筍3房超平筍盤,屋苑,3,2,1097,-1,港島 跑馬地 維基樓,48000,07-05-2021,22.26596385,114.18751826860523,1.62035E+12
最筍2房隨時睇樓,屋苑,2,1,522,-1,港島 跑馬地 華苑,26000,07-05-2021,22.265539349999997,114.18853874999999,1.62035E+12
近地鐵站最筍3房 低價實盤筍盤推介,屋苑,3,2,529,-1,港島 鰂魚涌 康怡花園_F座,18500,07-05-2021,22.28114965,114.21637463577076,1.62035E+12
交通便利最筍3房 價格超抵手慢無,屋苑,3,2,596,-1,港島 鰂魚涌 康怡花園_D座,18500,07-05-2021,22.2803318,114.21556480942624,1.62035E+12
臨近太古港鐵最筍3房 價格超抵手慢無,屋苑,3,2,668,-1,港島 鰂魚涌 康怡花園_A座,23000,07-05-2021,22.2797313,114.21385967062841,1.62035E+12
近地鐵站12名校網 最筍1房,屋苑,1,0,420,-1,港島 灣仔 嘉薈軒,25000,07-05-2021,22.27624405,114.1711172812316,1.62035E+12
